ID_Pesanan,Tgl_Pembayaran,Tgl_Diserahkan_Kurir,Kurir,Nomor_Resi,Status_Pesanan
ORD-2507-364,08-10-2024,2024/10/23,JNE Express,RESI9441870024,Dalam Proses
ORD-2507-365,21-06-2023,2023/06/24,Anteraja,RESI1442421654,Selesai
ORD-2507-366,18-06-2025,,JNE Express,RESI1666898313,Batal
ORD-2507-367,04-02-2024,11-02-2024,JNE,SC0019S87263,Batal
ORD-2507-368,2024/01/01,2024/01/11,SiCepat,RESI7587552692,Dalam Proses
ORD-2507-369,08-05-2024,2024/05/13,JNE,Menyusul,Batal
ORD-2507-370,2025/04/14,2025/04/17,Anteraja,SC0019S87263,Dalam Proses
ORD-2507-371,28-03-2025,04-04-2025,JNE Express,RESI2625035499,Dalam Proses
ORD-2507-372,23-03-2023,2023/04/07,JNE,RESI4665677395,Selesai
ORD-2507-373,20-05-2023,2023/05/27,Sicepat,RESI1095051435,Selesai
ORD-2507-374,16-10-2023,23-10-2023,JNE,Menyusul,Selesai
ORD-2507-375,2023/12/17,2024/01/01,SiCepat,RESI5087280062,Selesai
ORD-2507-376,30-09-2023,2023/10/15,Sicepat,RESI6364252503,Dalam Proses
ORD-2507-377,11-09-2023,12-09-2023,SiCepat,RESI9771121724,Batal
ORD-2507-378,2024/06/17,2024/06/19,Sicepat,RESI8013290620,Dalam Proses
ORD-2507-379,2023/01/16,19-01-2023,JNE,Menyusul,Batal
ORD-2507-380,2024/05/01,2024/05/04,JNE,RESI3684922912,Selesai
ORD-2507-381,31-12-2023,2024/01/03,Sicepat,RESI5873637580,Selesai
ORD-2507-382,2024/05/11,10-05-2024,SiCepat,RESI1688669716,Batal
ORD-2507-383,2023/06/08,2023/06/07,JNE,RESI9670335754,Dalam Proses
ORD-2507-384,2025/03/05,2025/03/10,JNE,RESI6510997463,Dalam Proses
ORD-2507-385,18-10-2024,28-10-2024,Sicepat,RESI3084649514,Selesai
ORD-2507-386,2023/02/02,2023/02/17,JNE,,Selesai
ORD-2507-387,02-11-2024,2024/11/01,SiCepat,RESI4042699946,Batal
ORD-2507-388,30-09-2023,01-10-2023,Anteraja,RESI1813726301,Batal
ORD-2507-389,03-11-2024,08-11-2024,Sicepat,RESI1447116404,Selesai
ORD-2507-390,2024/07/17,2024/08/01,Anteraja,RESI8923587668,Dalam Proses
ORD-2507-391,2025/02/21,08-03-2025,JNE Express,RESI7238025415,Dalam Proses
ORD-2507-392,2023/01/01,2023/01/02,JNE,RESI8826879784,Batal
ORD-2507-393,07-06-2024,,JNE Express,RESI6295669542,Dalam Proses
ORD-2507-394,05-04-2023,2023/04/20,JNE,RESI4898351305,Batal
ORD-2507-395,19-10-2024,26-10-2024,Sicepat,RESI7160290489,Selesai
ORD-2507-396,09-06-2025,14-06-2025,JNE Express,Menyusul,Batal
ORD-2507-397,2024/08/01,04-08-2024,SiCepat,RESI1386903346,Dalam Proses
ORD-2507-398,24-10-2023,08-11-2023,SiCepat,RESI3997331061,Selesai
ORD-2507-399,2024/05/07,12-05-2024,JNE,RESI3473979489,Selesai
ORD-2507-400,2024/11/18,2024/12/03,SiCepat,Menyusul,Dalam Proses
ORD-2507-401,2023/06/23,03-07-2023,JNE,RESI1234238999,Batal
ORD-2507-402,01-06-2023,2023/06/08,SiCepat,Menyusul,Selesai
ORD-2507-403,27-01-2025,2025/02/01,SiCepat,RESI3262584884,Dalam Proses
ORD-2507-404,2023/06/24,2023/06/25,JNE,SC0019S87263,Dalam Proses
ORD-2507-405,2024/11/07,04-07-2026,Sicepat,RESI6649840375,Batal
ORD-2507-406,28-06-2024,30-06-2024,JNE,RESI4197133819,Selesai
ORD-2507-407,2023/12/22,2024/01/01,Sicepat,RESI2203423402,Selesai
ORD-2507-408,16-12-2023,31-12-2023,JNE Express,RESI7895006867,Dalam Proses
ORD-2507-409,09-07-2024,12-07-2024,Sicepat,RESI5875872347,Selesai
ORD-2507-410,2024/11/02,05-11-2024,JNE,,Dalam Proses
ORD-2507-411,2024/02/28,2024/03/14,JNE,,Batal
ORD-2507-412,23-09-2024,30-09-2024,JNE Express,RESI7892184524,Batal
ORD-2507-413,27-10-2024,06-11-2024,JNE,RESI9269680715,Dalam Proses
ORD-2507-414,16-08-2023,2023/08/21,Sicepat,RESI6354895816,Dalam Proses
ORD-2507-415,2025/03/05,06-03-2025,SiCepat,RESI5277084664,Batal
ORD-2507-416,04-07-2024,19-07-2024,JNE,RESI6522961108,Selesai
ORD-2507-417,08-03-2024,2024/03/15,Sicepat,RESI5876105046,Dalam Proses
ORD-2507-418,28-11-2023,27-11-2023,Sicepat,RESI4149337748,Selesai
ORD-2507-419,2023/04/27,26-04-2023,JNE Express,RESI1644630523,Selesai
ORD-2507-420,2023/07/03,2023/07/04,JNE,RESI9605108260,Dalam Proses
ORD-2507-421,2023/01/13,12-01-2023,SiCepat,RESI7243759249,Dalam Proses
ORD-2507-422,23-03-2023,24-03-2023,JNE,RESI4667168880,Batal
ORD-2507-423,2024/08/14,2024/08/21,,RESI3414532686,Dalam Proses
ORD-2507-424,06-02-2025,2025/02/16,Sicepat,RESI5573821760,Dalam Proses
ORD-2507-425,2023/05/18,20-05-2023,SiCepat,RESI5239945630,Dalam Proses
ORD-2507-426,2025/01/11,2025/01/18,Anteraja,RESI7432749100,Selesai
ORD-2507-427,2024/09/16,04-07-2026,JNE,RESI9585583837,Dalam Proses
ORD-2507-428,2023/02/16,26-02-2023,SiCepat,RESI7657171838,Selesai
ORD-2507-429,2023/04/27,07-05-2023,Sicepat,RESI9742656117,Selesai
ORD-2507-430,2024/05/08,2024/05/11,SiCepat,RESI7532959755,Batal
ORD-2507-431,12-01-2025,2025/01/22,JNE,RESI7896382125,Selesai
ORD-2507-432,2024/09/01,03-09-2024,JNE,RESI2299780396,Batal
ORD-2507-433,06-11-2023,09-11-2023,Anteraja,SC0019S87263,Dalam Proses
ORD-2507-434,27-05-2024,2024/05/30,Sicepat,RESI1570015858,Batal
ORD-2507-435,2023/02/07,06-02-2023,JNE Express,Menyusul,Batal
ORD-2507-436,2025/06/11,2025/06/13,JNE,RESI1861379367,Dalam Proses
ORD-2507-437,2023/10/11,21-10-2023,JNE,Menyusul,Batal
ORD-2507-438,27-07-2024,2024/07/29,JNE,RESI5600953105,Batal
ORD-2507-439,13-12-2023,12-12-2023,JNE,RESI8298719245,Batal
ORD-2507-440,2023/12/31,07-01-2024,Anteraja,RESI3011229698,Dalam Proses
ORD-2507-441,2023/11/14,2023/11/13,Anteraja,RESI9084863137,Dalam Proses
ORD-2507-442,14-05-2024,2024/05/15,Sicepat,RESI3181627202,Dalam Proses
ORD-2507-443,2025/04/17,2025/04/19,SiCepat,RESI3353423112,Dalam Proses
ORD-2507-444,2024/01/29,2024/01/31,Sicepat,RESI2014275094,Batal
ORD-2507-445,2024/11/16,2024/11/18,SiCepat,RESI9888897104,Selesai
ORD-2507-446,2024/12/02,17-12-2024,JNE,RESI4478233603,Selesai
ORD-2507-447,2024/11/07,2024/11/10,JNE,RESI9973421080,Selesai
ORD-2507-448,18-09-2024,03-10-2024,JNE,RESI1133937440,Dalam Proses
ORD-2507-449,2024/12/20,2025/01/04,SiCepat,RESI9265587451,Dalam Proses
ORD-2507-450,07-06-2023,14-06-2023,JNE,RESI1583152392,Selesai
ORD-2507-451,2024/10/19,2024/11/03,SiCepat,RESI6947304439,Selesai
ORD-2507-452,10-07-2023,25-07-2023,Sicepat,RESI9752563670,Dalam Proses
ORD-2507-453,22-12-2024,01-01-2025,JNE,RESI8640187694,Dalam Proses
ORD-2507-454,13-06-2024,15-06-2024,SiCepat,RESI9175836491,Batal
ORD-2507-455,2025/03/08,2025/03/09,JNE Express,RESI9741659629,Batal
ORD-2507-456,2025/02/06,13-02-2025,SiCepat,RESI5412211686,Dalam Proses
ORD-2507-457,26-03-2023,29-03-2023,SiCepat,RESI3593393772,Batal
ORD-2507-458,2025/01/26,29-01-2025,SiCepat,RESI9562384841,Dalam Proses
ORD-2507-459,01-09-2023,2023/08/31,JNE,RESI7287896242,Dalam Proses
ORD-2507-460,05-11-2023,2023/11/04,JNE,RESI8719383556,Dalam Proses
ORD-2507-461,25-11-2024,2024/12/05,Anteraja,RESI6733641358,Dalam Proses
ORD-2507-462,2025/04/01,03-04-2025,Sicepat,RESI6067703428,Batal
ORD-2507-463,11-01-2023,,JNE,RESI6511718732,Selesai
ORD-2507-464,04-02-2023,05-02-2023,Anteraja,RESI5852914708,Batal
ORD-2507-465,21-02-2025,2025/02/24,SiCepat,RESI8599339588,Batal
ORD-2507-466,2024/11/14,24-11-2024,JNE Express,RESI2136726892,Dalam Proses
ORD-2507-467,13-03-2023,2023/03/12,JNE,RESI2112380464,Selesai
ORD-2507-468,2023/03/16,04-07-2026,SiCepat,SC0019S87263,Selesai
ORD-2507-469,2024/11/11,2024/11/26,SiCepat,RESI7167820709,Batal
ORD-2507-470,10-03-2025,,Anteraja,RESI6836509775,Batal
ORD-2507-471,07-11-2023,22-11-2023,JNE Express,RESI1872395778,Batal
ORD-2507-472,10-02-2023,25-02-2023,SiCepat,RESI4158193327,Selesai
ORD-2507-473,06-02-2023,2023/02/11,JNE Express,RESI8781527616,Selesai
ORD-2507-474,07-02-2023,2023/02/17,JNE,RESI3488270884,Selesai
ORD-2507-475,2023/02/07,10-02-2023,JNE,SC0019S87263,Batal
ORD-2507-476,21-02-2023,28-02-2023,Sicepat,RESI1947351792,Selesai
ORD-2507-477,2024/03/12,22-03-2024,JNE Express,RESI6039919293,Selesai
ORD-2507-478,04-05-2023,2023/05/11,SiCepat,RESI7925383538,Selesai
ORD-2507-479,17-01-2023,,JNE,RESI8613098877,Batal
ORD-2507-480,10-05-2023,2023/05/15,JNE,RESI8375312491,Batal
ORD-2507-481,2023/04/01,08-04-2023,JNE,RESI6236751117,Batal
ORD-2507-482,2024/11/06,11-11-2024,SiCepat,RESI1185180108,Batal
ORD-2507-483,08-01-2024,2024/01/15,JNE,RESI4373662535,Dalam Proses
ORD-2507-484,11-06-2024,2024/06/13,JNE Express,RESI5767984371,Selesai
ORD-2507-485,2023/04/11,16-04-2023,JNE,RESI7912464476,Selesai
ORD-2507-486,01-02-2024,2024/02/11,Anteraja,RESI5551169498,Selesai
ORD-2507-487,2023/04/24,23-04-2023,Sicepat,RESI4672214312,Selesai
ORD-2507-488,26-02-2024,2024/02/25,JNE,RESI5064122912,Batal
ORD-2507-489,06-01-2023,,SiCepat,RESI4527419370,Dalam Proses
ORD-2507-490,22-05-2024,04-07-2026,Sicepat,RESI1389680278,Dalam Proses
ORD-2507-491,16-11-2024,23-11-2024,Anteraja,RESI9038253771,Batal
ORD-2507-492,20-04-2024,21-04-2024,JNE,RESI3940614579,Batal
ORD-2507-493,2023/12/10,2023/12/11,SiCepat,Menyusul,Dalam Proses
ORD-2507-494,29-06-2023,01-07-2023,SiCepat,RESI4018690355,Batal
ORD-2507-495,2025/02/18,2025/02/23,JNE,RESI5822000305,Batal
ORD-2507-496,2024/06/28,05-07-2024,JNE,RESI6062958224,Selesai
ORD-2507-497,2023/04/22,25-04-2023,Sicepat,RESI5862020519,Dalam Proses
ORD-2507-498,06-03-2024,05-03-2024,Sicepat,RESI8674352222,Dalam Proses
ORD-2507-499,2024/08/30,2024/08/29,JNE,RESI1203233294,Dalam Proses
ORD-2507-500,19-10-2023,2023/10/18,JNE,RESI4412168053,Selesai
ORD-2507-001,16-10-2024,18-10-2024,Sicepat,RESI2812140441,Selesai
