ID_Pesanan,Tgl_Pembayaran,Tgl_Diserahkan_Kurir,Kurir,Nomor_Resi,Status_Pesanan
ORD-2507-036,31-05-2023,01-06-2023,SiCepat,RESI6944142262,Dalam Proses
ORD-2507-037,07-09-2023,10-09-2023,Sicepat,RESI2995226582,Batal
ORD-2507-038,2023/09/13,2023/09/15,Anteraja,RESI7462972995,Batal
ORD-2507-039,2024/04/01,2024/04/04,Sicepat,RESI9922723063,Dalam Proses
ORD-2507-040,2023/08/29,05-09-2023,JNE,RESI7076811348,Dalam Proses
ORD-2507-041,2024/07/09,2024/07/08,Anteraja,RESI6928691380,Selesai
ORD-2507-042,2023/12/27,2024/01/03,SiCepat,RESI3096929657,Dalam Proses
ORD-2507-043,22-03-2024,2024/03/21,Sicepat,RESI3294043548,Dalam Proses
ORD-2507-044,29-08-2024,2024/08/30,JNE,RESI9072992279,Dalam Proses
ORD-2507-045,2025/02/09,24-02-2025,,RESI3799264931,Selesai
ORD-2507-046,11-09-2023,2023/09/16,SiCepat,RESI8588769565,Selesai
ORD-2507-047,12-09-2024,14-09-2024,Anteraja,RESI1851819913,Batal
ORD-2507-048,08-12-2024,13-12-2024,Sicepat,RESI8136179811,Selesai
ORD-2507-049,02-06-2024,12-06-2024,JNE Express,RESI5952059278,Selesai
ORD-2507-050,2025/01/21,2025/01/28,JNE Express,RESI2936179853,Dalam Proses
ORD-2507-051,2024/08/06,,Sicepat,RESI6756711494,Batal
ORD-2507-052,19-12-2024,26-12-2024,Sicepat,RESI7403028869,Selesai
ORD-2507-053,06-04-2023,2023/04/13,SiCepat,RESI6715705115,Batal
ORD-2507-054,2024/04/09,16-04-2024,JNE Express,RESI1822662216,Batal
ORD-2507-055,2024/05/10,2024/05/17,JNE,SC0019S87263,Batal
ORD-2507-056,10-05-2023,17-05-2023,SiCepat,,Dalam Proses
ORD-2507-057,2024/04/25,2024/04/24,Anteraja,RESI9908115095,Batal
ORD-2507-058,03-12-2024,2024/12/04,JNE,RESI3656086594,Batal
ORD-2507-059,2024/01/25,2024/01/24,JNE Express,RESI6201313620,Batal
ORD-2507-060,25-03-2023,28-03-2023,JNE Express,RESI8986950095,Selesai
ORD-2507-061,2024/12/04,09-12-2024,JNE Express,RESI4550353803,Selesai
ORD-2507-062,2023/03/03,2023/03/06,JNE Express,RESI7614170462,Dalam Proses
ORD-2507-063,2023/03/24,25-03-2023,JNE,RESI5083595988,Batal
ORD-2507-064,21-04-2025,2025/04/28,Anteraja,RESI5686850445,Dalam Proses
ORD-2507-065,2024/02/23,2024/03/04,JNE Express,RESI5452580287,Selesai
ORD-2507-066,2023/11/19,26-11-2023,SiCepat,RESI8543865915,Batal
ORD-2507-067,28-03-2024,2024/03/29,JNE Express,RESI5975196341,Batal
ORD-2507-068,15-01-2023,30-01-2023,SiCepat,RESI8372755146,Batal
ORD-2507-069,2024/12/23,30-12-2024,SiCepat,RESI5594799319,Dalam Proses
ORD-2507-070,15-12-2023,2023/12/22,Sicepat,RESI6915072151,Dalam Proses
ORD-2507-071,09-06-2025,2025/06/14,JNE,RESI5212581851,Dalam Proses
ORD-2507-072,2023/02/07,2023/02/10,JNE,SC0019S87263,Selesai
ORD-2507-073,24-02-2024,2024/02/27,SiCepat,RESI7586857685,Dalam Proses
ORD-2507-074,03-10-2024,2024/10/02,,RESI4747699292,Dalam Proses
ORD-2507-075,20-06-2023,,Sicepat,RESI7576309274,Batal
ORD-2507-076,29-11-2024,2024/12/02,SiCepat,RESI6385791669,Dalam Proses
ORD-2507-077,2024/11/13,14-11-2024,JNE,RESI9426850694,Batal
ORD-2507-078,2023/09/14,2023/09/13,JNE,RESI8298348088,Selesai
ORD-2507-079,2025/04/29,,Sicepat,RESI8495457335,Dalam Proses
ORD-2507-080,2025/03/05,2025/03/10,SiCepat,RESI3698305085,Batal
ORD-2507-081,2024/10/23,2024/10/24,Sicepat,RESI1754368373,Selesai
ORD-2507-082,2025/03/16,2025/03/26,Anteraja,RESI1323408297,Selesai
ORD-2507-083,2025/05/30,2025/06/14,SiCepat,RESI7805633786,Batal
ORD-2507-084,16-01-2024,2024/01/18,Anteraja,RESI2753617371,Selesai
ORD-2507-085,2023/02/16,17-02-2023,Sicepat,RESI9381721143,Selesai
ORD-2507-086,07-12-2024,2024/12/17,JNE,RESI2540492440,Dalam Proses
ORD-2507-087,10-10-2023,15-10-2023,SiCepat,,Dalam Proses
ORD-2507-088,07-09-2023,10-09-2023,SiCepat,RESI3559721644,Dalam Proses
ORD-2507-089,29-05-2025,01-06-2025,SiCepat,Menyusul,Selesai
ORD-2507-090,2024/01/02,,JNE,RESI5567946981,Dalam Proses
ORD-2507-091,07-03-2025,17-03-2025,Sicepat,RESI1133790981,Dalam Proses
ORD-2507-092,2025/05/17,2025/06/01,JNE,RESI6691628146,Batal
ORD-2507-093,2024/06/27,04-07-2024,Sicepat,RESI6218484323,Dalam Proses
ORD-2507-094,2023/08/22,06-09-2023,JNE Express,RESI3036965074,Selesai
ORD-2507-095,01-05-2025,2025/05/03,Sicepat,RESI5819946657,Dalam Proses
ORD-2507-096,13-06-2025,2025/06/28,JNE,RESI4639017775,Dalam Proses
ORD-2507-097,15-05-2025,2025/05/25,Sicepat,RESI9702693937,Batal
ORD-2507-098,29-04-2025,2025/05/06,Anteraja,RESI8118240999,Selesai
ORD-2507-099,26-05-2023,2023/05/27,SiCepat,RESI3560761628,Selesai
ORD-2507-100,09-06-2023,2023/06/12,SiCepat,RESI5783809766,Dalam Proses
ORD-2507-101,2023/04/24,01-05-2023,JNE Express,SC0019S87263,Dalam Proses
ORD-2507-102,2023/08/05,2023/08/08,Sicepat,RESI8757570742,Selesai
ORD-2507-103,2024/02/11,,Anteraja,RESI7088949191,Selesai
ORD-2507-104,2024/02/19,2024/02/20,Sicepat,RESI6340003593,Batal
ORD-2507-105,2024/02/15,17-02-2024,JNE Express,RESI3190227431,Dalam Proses
ORD-2507-106,26-12-2023,29-12-2023,SiCepat,RESI7417183769,Batal
ORD-2507-107,2025/02/17,16-02-2025,JNE Express,RESI3540128512,Dalam Proses
ORD-2507-108,2024/06/03,2024/06/05,Sicepat,RESI7472806994,Dalam Proses
ORD-2507-109,2024/08/17,18-08-2024,JNE Express,RESI4067961943,Batal
ORD-2507-110,23-10-2024,2024/10/26,SiCepat,RESI6958908766,Dalam Proses
ORD-2507-111,2024/11/26,2024/11/27,JNE,RESI4750707607,Dalam Proses
ORD-2507-112,2023/03/25,2023/03/28,JNE,RESI9991312028,Batal
ORD-2507-113,09-03-2024,19-03-2024,JNE Express,RESI1665484476,Dalam Proses
ORD-2507-114,14-05-2025,16-05-2025,SiCepat,RESI4876877928,Batal
ORD-2507-115,2024/03/24,2024/03/25,SiCepat,RESI6322188162,Dalam Proses
ORD-2507-116,2025/05/05,2025/05/10,SiCepat,RESI5150090143,Selesai
ORD-2507-117,2025/03/31,2025/04/03,SiCepat,RESI2224336336,Selesai
ORD-2507-118,07-10-2023,06-10-2023,Sicepat,RESI2606152369,Dalam Proses
ORD-2507-119,25-03-2023,,Anteraja,RESI1590985753,Dalam Proses
ORD-2507-120,29-04-2025,28-04-2025,Anteraja,Menyusul,Selesai
ORD-2507-121,2025/05/05,2025/05/08,JNE,RESI1269754673,Dalam Proses
ORD-2507-122,03-09-2024,04-09-2024,SiCepat,RESI9957643727,Dalam Proses
ORD-2507-123,2023/03/11,2023/03/12,,SC0019S87263,Selesai
ORD-2507-124,20-12-2023,2023/12/25,JNE,RESI8235656521,Batal
ORD-2507-125,05-05-2024,2024/05/08,JNE,RESI7328203808,Selesai
ORD-2507-126,2025/02/10,2025/02/15,JNE,RESI9403012103,Dalam Proses
ORD-2507-127,2023/07/11,2023/07/10,Sicepat,RESI4531928910,Batal
ORD-2507-128,28-10-2023,2023/11/07,JNE Express,RESI2920407276,Batal
ORD-2507-129,2025/06/09,19-06-2025,JNE,RESI3918046336,Selesai
ORD-2507-130,27-05-2023,2023/05/26,JNE Express,RESI6888247736,Dalam Proses
ORD-2507-131,20-02-2025,2025/02/22,JNE,RESI3412365931,Dalam Proses
ORD-2507-132,2025/03/04,2025/03/11,JNE,RESI8358867651,Selesai
ORD-2507-133,2025/04/09,2025/04/19,Sicepat,RESI3738900744,Dalam Proses
ORD-2507-134,04-06-2024,09-06-2024,Sicepat,Menyusul,Batal
ORD-2507-135,2024/08/09,19-08-2024,JNE,RESI3469178881,Selesai
ORD-2507-136,2023/11/21,23-11-2023,Sicepat,RESI5150074940,Dalam Proses
ORD-2507-137,29-05-2024,30-05-2024,JNE Express,RESI9138644862,Selesai
ORD-2507-138,2023/09/14,19-09-2023,SiCepat,RESI7894019119,Batal
ORD-2507-139,12-02-2023,,SiCepat,RESI3744446292,Dalam Proses
ORD-2507-140,2024/10/04,2024/10/11,JNE,RESI7374810067,Selesai
ORD-2507-141,2023/12/15,2023/12/18,Anteraja,RESI2370592316,Dalam Proses
ORD-2507-142,2023/05/06,2023/05/13,Anteraja,RESI4875395503,Dalam Proses
ORD-2507-143,14-08-2024,2024/08/24,SiCepat,SC0019S87263,Dalam Proses
ORD-2507-144,01-06-2024,31-05-2024,JNE,RESI5756663747,Selesai
ORD-2507-145,2023/09/28,08-10-2023,JNE Express,RESI7656585531,Batal
ORD-2507-146,27-11-2024,2024/11/29,SiCepat,RESI1172893522,Selesai
ORD-2507-147,2023/05/21,31-05-2023,JNE Express,RESI7581349462,Batal
ORD-2507-148,2024/07/30,06-08-2024,Anteraja,RESI9704383251,Dalam Proses
ORD-2507-149,29-09-2023,2023/10/04,JNE,RESI1471997674,Selesai
ORD-2507-150,2024/03/27,2024/04/06,SiCepat,RESI4124168227,Batal
ORD-2507-151,2023/05/22,2023/05/27,JNE Express,RESI8272725281,Batal
ORD-2507-152,10-05-2024,2024/05/15,Sicepat,RESI7355707297,Batal
ORD-2507-153,2025/03/25,2025/04/01,Sicepat,RESI5924077461,Selesai
ORD-2507-154,2023/10/22,2023/10/24,JNE,RESI2166605339,Selesai
ORD-2507-155,22-09-2024,27-09-2024,SiCepat,RESI4310415016,Selesai
ORD-2507-156,2024/07/17,2024/07/20,SiCepat,RESI3774110439,Selesai
ORD-2507-157,29-10-2024,03-11-2024,Anteraja,Menyusul,Dalam Proses
ORD-2507-158,17-03-2025,2025/03/16,Sicepat,Menyusul,Batal
ORD-2507-159,2024/09/09,2024/09/11,Sicepat,RESI4473829163,Dalam Proses
ORD-2507-160,2023/06/16,04-07-2026,JNE Express,RESI2408434291,Dalam Proses
ORD-2507-161,16-11-2024,18-11-2024,JNE,RESI6710697191,Batal
ORD-2507-162,2025/01/10,11-01-2025,SiCepat,RESI8601409432,Batal
ORD-2507-163,2023/05/01,08-05-2023,SiCepat,RESI9215400091,Batal
ORD-2507-164,01-04-2025,06-04-2025,SiCepat,RESI1481933114,Batal
ORD-2507-165,01-06-2024,2024/06/06,JNE,RESI7487012742,Selesai
ORD-2507-166,2024/04/09,2024/04/12,SiCepat,SC0019S87263,Dalam Proses
ORD-2507-167,16-04-2025,2025/04/17,Sicepat,RESI3027530378,Dalam Proses
